item,item_id,subscale
1,Swore,PVA
2,Hurtful,PVA
3,Afraid,PVA
4,Leave,PVA
5,Closet,NVEA
6,Pushed,PPhysA
7,Hit,PPhysA
8,Hit_med,PPhysA
9,Spank_open,PPhysA
10,Spanked_bare,PPhysA
11,Spanked_strap,PPhysA
12,Sex_comment,SexA
13,Fondled,SexA
14,Touch_them,SexA
15,Push_sib,WSV
16,Hit_sib_med,WSV
17,Sex_comment_sib,WSV
18,Fondled_sib,WSV
19,o_fondled,SexA
20,o_intercourse,SexA
21,Adults_push_m,WIPV
22,Adults_hit_m,WIPV
23,Adults_hit_med_m,WIPV
24,Adults_push_f,WIPV
25,Adults_hit_f,WIPV
26,peer_swore,PeerVA
27,Peer_hurtful,PeerVA
28,Peer_Rumors,PeerVA
29,Peer_Excluded,PeerVA
30,Peer_afraid,PeerVA
31,Peer_threat_money,PeerPhysA
32,Peer_forced,PeerPhysA
33,Peer_pushed,PeerPhysA
34,Peer_hit,PeerPhysA
35,Peer_hit_med,PeerPhysA
36,Peer_forced_sex,SexA
37,Peer_sex_not_want,SexA
38,M_unavail_poor,EN
39,F_unavail_poor,EN
40,P_diff_please,NVEA
41,P_no_time,NVEA
42,P_loved_you,EN
43,P_special,EN
44,P_protect,PN
45,P_ER,PN
46,No_food,PN
47,Dirty_clothes,PN
48,Adult_resposibility,NVEA
49,Financial_pressure,NVEA
50,Kept_secrets,NVEA
51,Looked_out_each_other,PN
52,Fam_strength,EN