k1,k2,stat,lb,ub,pval
0,0,0.003497,0.003279,0.003782,0.41325
1,0,0.029699,0.009782,0.02978,0.9705
2,0,-0.003148,0.009168,0.028622,0.00025
2,1,0.002644,0.010287,0.02971,0.00025
3,0,0.005125,2e-06,0.01622,0.23275
3,1,0.001439,0.000522,0.015297,0.0485
3,2,0.002801,0.000566,0.016151,0.083
4,0,-0.000591,-0.002016,0.005947,0.1015
4,1,-0.00141,-0.002198,0.005144,0.05
4,2,-0.000429,-0.002174,0.005964,0.11575
4,3,0.001696,-0.002916,0.006229,0.5465
5,0,-0.00849,0.006899,0.027339,0.0
5,1,-0.005363,0.007588,0.028473,0.00025
5,2,0.021567,0.007136,0.027164,0.80675
5,3,-0.004159,-0.000921,0.015403,0.001
5,4,0.000488,-0.002602,0.00618,0.26025
6,0,-0.002655,0.003409,0.019236,0.0005
6,1,0.002199,0.002497,0.016804,0.017
6,2,0.012195,0.003088,0.018908,0.588
6,3,-0.0033,-0.001434,0.014185,0.00975
6,4,-0.000457,-0.002565,0.006134,0.14325
6,5,0.018505,0.001494,0.017801,0.976
7,0,0.000429,-0.001161,0.005591,0.14575
7,1,-0.000695,-0.001534,0.004402,0.06525
7,2,0.001563,-0.001312,0.005148,0.37325
7,3,-0.001121,-0.002606,0.006798,0.08225
7,4,0.002937,-0.002069,0.004257,0.88875
7,5,0.001911,-0.001853,0.005714,0.45675
7,6,0.005507,-0.001025,0.007394,0.872
8,0,-0.00383,0.000591,0.019268,0.003
8,1,-0.015767,0.003601,0.024572,0.0
8,2,0.005025,0.000318,0.018179,0.15575
8,3,-0.002629,-0.00295,0.011245,0.037
8,4,0.00227,-0.002698,0.004784,0.75575
8,5,0.014491,0.000319,0.020318,0.79375
8,6,0.00633,-0.002323,0.011429,0.68725
8,7,0.000585,-0.002328,0.003726,0.435
9,0,-0.008237,-0.00272,0.016742,0.00225
9,1,-0.009762,-0.001274,0.018067,0.0
9,2,0.007238,-0.002256,0.016127,0.504
9,3,-0.000752,-0.004883,0.012464,0.17325
9,4,0.003732,-0.004023,0.005877,0.8455
9,5,0.009768,-0.002417,0.017844,0.702
9,6,0.002037,-0.003898,0.013123,0.25375
9,7,-0.000802,-0.003209,0.006152,0.1805
9,8,0.056903,-0.004126,0.016694,1.0
10,0,-0.000352,0.00133,0.021444,0.01325
10,1,-0.013681,0.002375,0.022432,0.0
10,2,-0.002105,0.001978,0.021013,0.003
10,3,-0.008393,-0.003248,0.013956,0.00125
10,4,-0.001599,-0.003567,0.006108,0.1005
10,5,0.003565,0.000709,0.021041,0.0725
10,6,0.013242,-0.0,0.017027,0.88075
10,7,-0.00163,-0.002231,0.006649,0.0525
10,8,0.050343,-0.0016,0.018448,1.0
10,9,0.023135,-0.004402,0.016007,0.9995
11,0,-0.001552,-0.001683,0.00619,0.023
11,1,-0.000827,-0.001397,0.005236,0.0515
11,2,-0.003406,-0.001041,0.006477,0.00025
11,3,-0.000738,-0.002411,0.007547,0.1045
11,4,0.002453,-0.002191,0.004606,0.79675
11,5,-0.00242,-0.00226,0.006271,0.01875
11,6,-0.004078,-0.001721,0.007885,0.0025
11,7,-0.002315,-0.00205,0.00516,0.01025
11,8,-0.000661,-0.002461,0.004368,0.1765
11,9,-0.002023,-0.00431,0.006334,0.10525
11,10,-0.000554,-0.002787,0.007139,0.16775
12,0,-0.002733,-0.001546,0.005261,0.0045
12,1,-0.000474,-0.001559,0.004283,0.107
12,2,-0.002636,-0.001569,0.004953,0.004
12,3,-0.002297,-0.00256,0.00602,0.02875
12,4,0.003022,-0.002118,0.004067,0.909
12,5,-0.002824,-0.002058,0.00541,0.01
12,6,0.000972,-0.001939,0.006159,0.2875
12,7,-0.000586,-0.001989,0.004421,0.14525
12,8,0.000505,-0.002512,0.003556,0.41425
12,9,-0.001285,-0.00328,0.005752,0.15725
12,10,-1.4e-05,-0.002644,0.006067,0.233
12,11,0.008936,-0.002057,0.004996,0.99975
13,0,-0.002367,-0.001462,0.0035,0.00375
13,1,-0.002073,-0.001376,0.002695,0.00725
13,2,-0.001296,-0.00143,0.00327,0.0275
13,3,-0.00238,-0.002258,0.004428,0.02275
13,4,0.000822,-0.00179,0.003233,0.58425
13,5,3.7e-05,-0.001668,0.003693,0.20525
13,6,9.8e-05,-0.001636,0.004311,0.1915
13,7,-0.00101,-0.001573,0.003634,0.066
13,8,0.000973,-0.001712,0.002644,0.65275
13,9,0.001143,-0.002402,0.004259,0.58075
13,10,0.002463,-0.002207,0.00416,0.79775
13,11,0.005616,-0.001757,0.003723,0.99875
13,12,0.007658,-0.001751,0.003219,1.0
14,0,0.000439,0.001231,0.02331,0.016
14,1,-0.003774,0.002552,0.024965,0.001
14,2,0.013975,0.001844,0.023483,0.60475
14,3,-0.007624,-0.003662,0.015645,0.0015
14,4,0.001106,-0.003926,0.006809,0.4405
14,5,0.052202,-0.00057,0.022524,1.0
14,6,0.004638,-0.001719,0.017394,0.24825
14,7,0.002386,-0.003157,0.006903,0.528
14,8,-0.005161,-0.003679,0.018325,0.01075
14,9,-0.007238,-0.007006,0.01658,0.02275
14,10,-0.001654,-0.004106,0.019423,0.05275
14,11,-0.002878,-0.002768,0.00851,0.0275
14,12,-0.008481,-0.003273,0.006412,0.0
14,13,-0.004053,-0.002584,0.004437,0.003
15,0,-0.000217,-0.001859,0.004102,0.151
15,1,0.000549,-0.001476,0.00357,0.363
15,2,0.001047,-0.001568,0.004107,0.43
15,3,-0.001393,-0.002801,0.005545,0.0985
15,4,-1.6e-05,-0.002044,0.004004,0.33625
15,5,0.001418,-0.002131,0.004564,0.55025
15,6,0.001971,-0.002093,0.005757,0.5595
15,7,0.005171,-0.002263,0.004324,0.98575
15,8,-0.001456,-0.002312,0.003088,0.08675
15,9,-0.001768,-0.003511,0.005181,0.10675
15,10,0.000979,-0.002783,0.005323,0.44875
15,11,-0.002882,-0.002337,0.004642,0.00475
15,12,-0.00227,-0.001925,0.004443,0.0145
15,13,-0.002069,-0.001755,0.003288,0.00775
15,14,0.004437,-0.002561,0.005244,0.9385
16,0,-0.0008,-0.002158,0.004018,0.115
16,1,-0.000772,-0.001992,0.003372,0.1205
16,2,-0.003221,-0.002012,0.003831,0.0045
16,3,-0.000718,-0.002512,0.005312,0.18325
16,4,-5.6e-05,-0.002126,0.003427,0.38675
16,5,-0.001603,-0.00238,0.004197,0.072
16,6,-0.003066,-0.002715,0.004524,0.016
16,7,-0.002832,-0.002474,0.003339,0.00975
16,8,0.000295,-0.002437,0.003154,0.43075
16,9,0.001031,-0.003484,0.004995,0.60375
16,10,0.002145,-0.003219,0.004667,0.77725
16,11,0.009376,-0.002178,0.004082,1.0
16,12,0.003479,-0.001958,0.003775,0.95475
16,13,0.004489,-0.001766,0.003011,0.996
16,14,-0.001711,-0.002815,0.004781,0.07925
16,15,-0.000865,-0.002048,0.003402,0.147
17,0,-0.000915,-0.001743,0.003092,0.09325
17,1,-0.000364,-0.001579,0.002765,0.1855
17,2,-0.000951,-0.001664,0.002856,0.09275
17,3,-0.001209,-0.002515,0.003548,0.1135
17,4,-0.000478,-0.001972,0.002812,0.246
17,5,-0.000701,-0.002205,0.003013,0.1775
17,6,-4.5e-05,-0.002377,0.00336,0.33675
17,7,-0.001091,-0.00222,0.002727,0.131
17,8,0.0008,-0.002264,0.002259,0.67625
17,9,0.000877,-0.002969,0.003646,0.65075
17,10,0.003063,-0.002975,0.00329,0.965
17,11,0.003914,-0.00163,0.003355,0.9895
17,12,0.004653,-0.001644,0.003052,0.99625
17,13,0.005229,-0.001506,0.002504,0.9995
17,14,-0.000629,-0.002587,0.003568,0.20325
17,15,-0.001133,-0.001698,0.002597,0.063
17,16,0.007361,-0.00139,0.002756,1.0
18,0,-0.005499,-0.002108,0.012253,0.00175
18,1,-0.004703,-0.00177,0.011799,0.0025
18,2,-0.004768,-0.00184,0.011987,0.00225
18,3,-0.000362,-0.004619,0.009693,0.1935
18,4,0.003546,-0.00326,0.005237,0.87575
18,5,-0.000857,-0.002666,0.012041,0.07275
18,6,-0.008043,-0.002457,0.011196,0.00025
18,7,-0.004202,-0.002458,0.005943,0.003
18,8,0.001006,-0.003953,0.009905,0.26125
18,9,-0.000781,-0.00488,0.010954,0.203
18,10,0.00172,-0.003919,0.011922,0.29675
18,11,0.00231,-0.002889,0.006413,0.66175
18,12,0.001746,-0.002983,0.005243,0.6455
18,13,-0.000232,-0.002123,0.004045,0.24775
18,14,-0.010091,-0.005025,0.012562,0.00025
18,15,0.001048,-0.002907,0.004993,0.526
18,16,-0.000923,-0.002978,0.00434,0.22875
18,17,-0.001196,-0.002666,0.003252,0.16525
19,0,-0.000586,-0.002729,0.005967,0.15425
19,1,-0.000988,-0.002563,0.005635,0.10325
19,2,-0.003312,-0.002388,0.0061,0.01225
19,3,-0.001039,-0.003197,0.005745,0.174
19,4,-0.000496,-0.002229,0.003631,0.261
19,5,-0.003622,-0.003164,0.005891,0.01525
19,6,-0.002705,-0.002802,0.005584,0.0265
19,7,-0.00201,-0.002202,0.003711,0.02575
19,8,-0.000268,-0.003301,0.005104,0.27375
19,9,-0.000659,-0.00403,0.006282,0.28225
19,10,0.00134,-0.003822,0.005894,0.5205
19,11,0.002263,-0.002287,0.003968,0.84525
19,12,-0.000398,-0.002231,0.003438,0.26375
19,13,-6.7e-05,-0.001841,0.002571,0.3575
19,14,-0.003136,-0.003802,0.006827,0.0445
19,15,-0.000392,-0.002089,0.003566,0.261
19,16,0.000512,-0.002229,0.003034,0.6095
19,17,0.001116,-0.002049,0.002498,0.80175
19,18,0.025662,-0.003111,0.005284,1.0
20,0,0.000622,-0.000222,0.014537,0.03825
20,1,-0.002511,8.9e-05,0.013497,0.00175
20,2,0.001052,0.000878,0.015256,0.03825
20,3,-0.004804,-0.002848,0.012369,0.0065
20,4,0.000394,-0.002917,0.005859,0.327
20,5,-0.001431,-0.001188,0.014422,0.025
20,6,-0.006891,-0.001345,0.013676,0.00025
20,7,-0.000136,-0.002113,0.006707,0.16875
20,8,-0.003561,-0.003356,0.009902,0.02175
20,9,-0.008711,-0.004622,0.012198,0.00225
20,10,0.001582,-0.003775,0.012909,0.214
20,11,-0.001192,-0.00262,0.00735,0.06
20,12,-0.001992,-0.002786,0.005891,0.0385
20,13,-0.000519,-0.001986,0.004619,0.1805
20,14,0.007092,-0.002896,0.015236,0.60475
20,15,0.000433,-0.002851,0.005435,0.336
20,16,0.000352,-0.002621,0.00502,0.381
20,17,-0.001247,-0.002284,0.003771,0.08475
20,18,-0.007447,-0.00392,0.009563,0.0005
20,19,-0.004169,-0.003357,0.00532,0.00425
21,0,-0.000897,-0.001575,0.007716,0.04225
21,1,0.000116,-0.001523,0.006422,0.12125
21,2,0.001127,-0.001405,0.007426,0.20075
21,3,-0.007466,-0.002827,0.007969,0.0
21,4,-0.002319,-0.002446,0.004528,0.0245
21,5,-0.001566,-0.002101,0.007675,0.04075
21,6,-0.000231,-0.001663,0.008897,0.08075
21,7,-1.6e-05,-0.001768,0.005943,0.147
21,8,-0.003231,-0.002972,0.00508,0.0205
21,9,-0.005515,-0.004229,0.007459,0.01
21,10,-0.001858,-0.003014,0.007933,0.066
21,11,-0.003364,-0.00207,0.006041,0.00425
21,12,-0.00243,-0.002241,0.004801,0.015
21,13,-0.000553,-0.001646,0.003847,0.148
21,14,-0.001643,-0.003451,0.00892,0.072
21,15,8e-06,-0.002027,0.004906,0.2755
21,16,0.000379,-0.002661,0.00377,0.4885
21,17,-3.3e-05,-0.002199,0.003072,0.423
21,18,-0.005297,-0.003504,0.00669,0.0015
21,19,-0.003549,-0.00236,0.004302,0.00225
21,20,0.022717,-0.00297,0.00763,1.0
22,0,-0.000801,-0.001819,0.004747,0.083
22,1,-0.000292,-0.001642,0.004177,0.14375
22,2,0.001143,-0.001795,0.004564,0.395
22,3,-0.002933,-0.002688,0.005638,0.0145
22,4,-0.00126,-0.002192,0.003753,0.0885
22,5,-0.003107,-0.002261,0.004824,0.01425
22,6,-0.002476,-0.002158,0.005528,0.0175
22,7,-0.000253,-0.002082,0.004113,0.2335
22,8,-0.000616,-0.002527,0.003564,0.22
22,9,0.00104,-0.003436,0.005088,0.559
22,10,-0.000317,-0.00333,0.005097,0.2745
22,11,-0.002662,-0.00205,0.004667,0.00375
22,12,-0.001044,-0.002067,0.003863,0.086
22,13,0.00042,-0.001727,0.003055,0.464
22,14,-0.002888,-0.003174,0.006201,0.027
22,15,-0.000511,-0.00206,0.003788,0.209
22,16,0.001201,-0.001817,0.003687,0.6735
22,17,0.001228,-0.001587,0.002998,0.74975
22,18,-0.003321,-0.002943,0.004767,0.0175
22,19,-0.000932,-0.002045,0.003322,0.1465
22,20,0.009716,-0.002118,0.005923,0.9995
22,21,0.014279,-0.002275,0.004603,1.0
23,0,-0.002367,-0.000133,0.013254,0.0045
23,1,-0.00178,-0.00115,0.011185,0.009
23,2,-0.002687,-0.00013,0.01289,0.004
23,3,-0.001985,-0.003418,0.010683,0.04975
23,4,-0.003436,-0.003102,0.005487,0.01275
23,5,0.000677,-0.000931,0.013136,0.0725
23,6,-0.006495,-0.000841,0.01296,0.0
23,7,-0.003195,-0.00206,0.006548,0.005
23,8,-0.000341,-0.002926,0.009048,0.13175
23,9,-0.001564,-0.00455,0.010453,0.1085
23,10,0.004381,-0.002574,0.012442,0.421
23,11,-0.001324,-0.002854,0.006713,0.0925
23,12,-0.000547,-0.002748,0.005415,0.1675
23,13,0.000471,-0.002055,0.004333,0.337
23,14,-0.001067,-0.003954,0.01304,0.09775
23,15,-0.002455,-0.002821,0.005164,0.02975
23,16,-0.000312,-0.00323,0.004182,0.3105
23,17,-0.001001,-0.002688,0.003182,0.17825
23,18,0.000989,-0.003284,0.009507,0.302
23,19,-0.002531,-0.00313,0.005041,0.04475
23,20,0.022938,-0.003064,0.010895,1.0
23,21,0.008126,-0.002351,0.007527,0.98625
23,22,0.002032,-0.003138,0.004823,0.69275
24,0,0.002305,-0.001454,0.005017,0.6885
24,1,-0.000969,-0.001841,0.003905,0.063
24,2,-0.00146,-0.001588,0.004605,0.029
24,3,0.000512,-0.002476,0.005559,0.3335
24,4,-0.001511,-0.002032,0.003758,0.05725
24,5,-0.000889,-0.002214,0.004756,0.0905
24,6,0.001362,-0.001946,0.005499,0.40575
24,7,-0.001372,-0.001634,0.0043,0.038
24,8,1e-05,-0.002201,0.003579,0.32825
24,9,0.00216,-0.00355,0.004964,0.71
24,10,0.001341,-0.002501,0.005518,0.50375
24,11,-0.001635,-0.002104,0.004261,0.03675
24,12,-0.001285,-0.002061,0.003605,0.06075
24,13,8.1e-05,-0.001453,0.003199,0.33275
24,14,-0.002834,-0.002732,0.006232,0.02375
24,15,0.00093,-0.00219,0.003588,0.54975
24,16,-0.000988,-0.00219,0.003358,0.153
24,17,-0.001234,-0.001958,0.002615,0.08625
24,18,-0.001771,-0.002586,0.004849,0.059
24,19,-0.000377,-0.002035,0.00324,0.24625
24,20,0.003499,-0.002308,0.005647,0.84175
24,21,0.002618,-0.001742,0.004761,0.79
24,22,-0.0,-0.001901,0.00363,0.32875
24,23,0.013304,-0.00218,0.005364,1.0
25,0,0.005261,-0.005808,0.010969,0.74725
25,1,0.002779,-0.00613,0.012833,0.46725
25,2,-0.00325,-0.005377,0.010776,0.07925
25,3,-0.004228,-0.005876,0.007817,0.07225
25,4,0.000361,-0.003398,0.003695,0.51075
25,5,0.003618,-0.006521,0.011391,0.5745
25,6,-0.002739,-0.00553,0.007443,0.111
25,7,0.000134,-0.002883,0.003401,0.44775
25,8,-0.002026,-0.007368,0.014429,0.15175
25,9,-0.00053,-0.007884,0.011129,0.33625
25,10,-0.005965,-0.007141,0.01087,0.03925
25,11,-0.000303,-0.003107,0.003546,0.39175
25,12,-0.001273,-0.002894,0.003155,0.16075
25,13,-0.000843,-0.002089,0.002297,0.16775
25,14,-0.001498,-0.008908,0.011177,0.28875
25,15,-0.00057,-0.002363,0.002875,0.25425
25,16,-0.000893,-0.002785,0.002659,0.22425
25,17,-0.001981,-0.002229,0.002153,0.04475
25,18,-0.001597,-0.005958,0.007038,0.22875
25,19,-0.00062,-0.003715,0.004071,0.33975
25,20,0.002477,-0.006039,0.006408,0.6965
25,21,0.002157,-0.004095,0.003912,0.83125
25,22,0.002185,-0.002773,0.002881,0.933
25,23,-0.006992,-0.00472,0.006884,0.0035
25,24,-0.002129,-0.002743,0.002916,0.067
26,0,-0.001589,-0.00768,0.008669,0.29275
26,1,0.011063,-0.007877,0.009598,0.988
26,2,-0.002561,-0.007382,0.008236,0.199
26,3,-0.003355,-0.006149,0.006712,0.1385
26,4,0.000852,-0.003415,0.003724,0.65625
26,5,0.003962,-0.00807,0.009042,0.7735
26,6,-0.00186,-0.006043,0.006443,0.24875
26,7,0.000665,-0.003124,0.002889,0.6525
26,8,0.005027,-0.009764,0.011535,0.73875
26,9,-0.001409,-0.008634,0.009333,0.33625
26,10,0.001866,-0.007561,0.009991,0.61775
26,11,0.000464,-0.003305,0.003364,0.59875
26,12,0.001359,-0.00287,0.003043,0.82225
26,13,-0.000133,-0.002125,0.002129,0.39575
26,14,-0.000825,-0.009412,0.00997,0.41175
26,15,0.000233,-0.00262,0.00255,0.5275
26,16,-0.001175,-0.002679,0.002587,0.181
26,17,0.000267,-0.002139,0.002087,0.58775
26,18,0.002581,-0.006013,0.006499,0.774
26,19,-0.00152,-0.003853,0.003702,0.20825
26,20,-0.002596,-0.005909,0.006053,0.167
26,21,-0.001795,-0.003695,0.003849,0.18025
26,22,0.000141,-0.002671,0.002761,0.5295
26,23,-0.001322,-0.005242,0.005829,0.27775
26,24,-0.001289,-0.002576,0.002832,0.16375
26,25,0.01669,0.03213,0.055365,0.00025
27,0,0.006025,-0.007806,0.012425,0.7535
27,1,0.003479,-0.007345,0.014377,0.51175
27,2,-0.000306,-0.007785,0.01183,0.29575
27,3,0.007991,-0.006597,0.009867,0.946
27,4,0.001344,-0.004498,0.004598,0.69
27,5,-0.002504,-0.008451,0.012677,0.19325
27,6,0.001197,-0.007112,0.008578,0.51475
27,7,0.00017,-0.003757,0.004322,0.477
27,8,-0.005736,-0.009779,0.014768,0.0785
27,9,-0.00883,-0.010096,0.012417,0.03525
27,10,-0.003423,-0.009169,0.012449,0.1815
27,11,-4.2e-05,-0.004228,0.004831,0.41175
27,12,-0.001752,-0.003785,0.004175,0.157
27,13,0.000317,-0.002922,0.003005,0.569
27,14,-0.001531,-0.009889,0.01404,0.27925
27,15,0.000983,-0.003321,0.003898,0.667
27,16,0.000902,-0.003426,0.003734,0.65725
27,17,-0.001224,-0.003016,0.002767,0.1795
27,18,-0.001189,-0.006949,0.008353,0.31625
27,19,-0.000549,-0.004154,0.005601,0.3695
27,20,0.002394,-0.006785,0.008811,0.6425
27,21,0.00129,-0.004865,0.005419,0.6275
27,22,0.004146,-0.003879,0.003851,0.9785
27,23,-0.00691,-0.006634,0.008069,0.02425
27,24,-0.000719,-0.003633,0.00379,0.3055
27,25,0.008103,0.016429,0.040087,0.00075
27,26,0.019417,0.01664,0.03926,0.065
28,0,-0.008471,-0.009858,0.010191,0.04075
28,1,0.005684,-0.010351,0.010753,0.83525
28,2,0.001373,-0.009023,0.009893,0.577
28,3,0.005387,-0.008901,0.008341,0.88975
28,4,0.002283,-0.004071,0.005042,0.8265
28,5,0.000453,-0.010401,0.010925,0.489
28,6,-0.004144,-0.00803,0.008563,0.1415
28,7,0.003031,-0.00438,0.004079,0.917
28,8,-0.00192,-0.011669,0.013137,0.319
28,9,-0.001062,-0.01074,0.011732,0.3835
28,10,-0.009736,-0.010233,0.010886,0.03125
28,11,-0.001651,-0.004984,0.004655,0.251
28,12,-9.3e-05,-0.003915,0.004202,0.468
28,13,0.000344,-0.002902,0.003133,0.547
28,14,-0.010635,-0.011513,0.012435,0.039
28,15,0.0008,-0.003776,0.00387,0.62875
28,16,-0.001889,-0.003769,0.003866,0.1575
28,17,-0.003236,-0.003252,0.002942,0.0315
28,18,-0.002371,-0.008074,0.007805,0.26625
28,19,-0.005715,-0.004877,0.005167,0.01725
28,20,-0.002894,-0.007823,0.007898,0.251
28,21,-0.001612,-0.005032,0.005342,0.257
28,22,0.001692,-0.003885,0.003979,0.8165
28,23,-0.002717,-0.007141,0.00748,0.2095
28,24,-0.000463,-0.003978,0.003635,0.382
28,25,0.004921,0.017198,0.04077,0.00025
28,26,0.018566,0.018779,0.041285,0.02875
28,27,0.038423,0.009282,0.034867,0.993
29,0,-0.003264,-0.00923,0.007887,0.25775
29,1,-0.002028,-0.009399,0.008802,0.37225
29,2,0.004653,-0.008504,0.00817,0.86875
29,3,0.003451,-0.007856,0.007377,0.8305
29,4,0.001383,-0.004899,0.00393,0.7445
29,5,0.000883,-0.009125,0.00917,0.58875
29,6,-0.005418,-0.007265,0.007404,0.07775
29,7,0.002206,-0.004039,0.004315,0.8365
29,8,-0.00435,-0.009288,0.009711,0.18275
29,9,-0.000213,-0.00913,0.010364,0.4785
29,10,-0.003749,-0.009035,0.009343,0.2055
29,11,0.000826,-0.005145,0.004233,0.66975
29,12,0.001499,-0.004296,0.003804,0.789
29,13,0.000145,-0.003068,0.002999,0.5175
29,14,-0.002738,-0.010913,0.010257,0.338
29,15,-0.001065,-0.003579,0.004004,0.28175
29,16,7e-05,-0.003669,0.003781,0.525
29,17,-0.00068,-0.003349,0.002701,0.33325
29,18,-0.002663,-0.007081,0.007332,0.236
29,19,-0.004405,-0.0047,0.004214,0.0295
29,20,-0.003776,-0.00721,0.007182,0.1625
29,21,0.000786,-0.004914,0.005026,0.62
29,22,-0.000324,-0.004147,0.00366,0.47825
29,23,0.001101,-0.006733,0.006908,0.59175
29,24,-0.000487,-0.003515,0.003926,0.39125
29,25,-0.005015,0.010884,0.026945,0.0
29,26,-0.006898,0.01031,0.024108,0.0
29,27,-0.017334,0.009609,0.030364,0.0
29,28,-0.004564,0.010341,0.032038,0.00025
30,0,0.001922,-0.00433,0.006645,0.62175
30,1,0.004186,-0.003941,0.006968,0.87575
30,2,-0.001452,-0.004149,0.006543,0.18225
30,3,0.001481,-0.004674,0.006489,0.647
30,4,0.000944,-0.003094,0.00386,0.66875
30,5,-0.004139,-0.005236,0.006581,0.043
30,6,-0.001182,-0.004685,0.005985,0.2275
30,7,0.000292,-0.002674,0.003858,0.5065
